Topic,Count,Name,Representation,Representative_Docs
52,600,52_caixabank_caixabanks_caixabank groups_cmr,"['caixabank', 'caixabanks', 'caixabank groups', 'cmr', 'bpi', 'caixa', 'financing', 'social', 'social entities', 'doble', 'doble materiality', 'banking plan', 'banking', 'sustainable banking', 'customer']","[""1 Includes Discretionary Management of CaixaBank's portfolios, CaixaBank Asset Management's investment funds and VidaCaixa's pension funds, EPSV and Unit Linked, as well as their respective dependent management companies."", 'Board of Directors November No Customers Customer protection regulations Regulate the Customer Service of CaixaBank, S.A. and CaixaBank Group entities procedure for processing customer claims.', ""CaixaBank's Code of Ethics The corporate culture is reflected in the CaixaBank Group's Code of Ethics. The Code of Ethics includes the ethical values and principles that inspire the actions of everyone in the CaixaBank Group. It is the highest internal standard, and, as such, it is mandatory for everyone part of the Group.""]"
53,600,53_remuneration_remuneration policy_directors remuneration_remuneration committee,"['remuneration', 'remuneration policy', 'directors remuneration', 'remuneration committee', 'directors', 'variable', 'executive directors', 'variable remuneration', 'executive', 'policy', 'shareholders', 'remuneration directors', 'board', 'agm', 'supervisory board']","['December 2021 Remuneration Policy – follow-up discussion March 2022 Shareholder consultation feedback, incentive measures design, market and governance update, AIP and PSP performance update, Executive Directors’ salaries and the Chair’s fee, below-Board remuneration, 2021 Directors’ Remuneration Report, Remuneration Committee terms of reference review, 2021-23 Remuneration Committee plan, Remuneration Committee evaluation.', 'Within the Supervisory Board, the Remuneration Committee prepares decisions for the full Supervisory Board on both the remuneration policy and the application of this in individual situations. Every year, the Remuneration Committee drafts a report on the application of the remuneration policy and the individual remuneration of members of the Board of Management and the Supervisory Board in the previous year. This report is submitted to the annual general meeting of shareholders(AGM) for an advisory vote. The Remuneration Committee regularly discusses and reviews the remuneration policy in light of relevant developments in the company’s strategy and organization, legislation, and stakeholder considerations. If deemed necessary, the Remuneration Committee will propose changes to the Supervisory Board for final submission to the general meeting of shareholders. The remuneration policy is submitted for shareholders’ approval at least once every four years. Prior to submitting the remuneration policy or an amendment to the policy to the AGM, the Remuneration Committee collects the input of various stakeholders and requests the advice of the Central Works Council.', ""The director remuneration policy report Pursuant to section 2 of Article 529 novodecies of the Spanish Companies Act, the remuneration committee issues this report on the resolution regarding the directors' remuneration policy for 2032, 2024 and 2025 that will be submitted by the board of directors at the 2023 AGM as a separate item on the agenda and is an integral part of this report. See sections 6.4 Directors' remuneration policy for 2023, 2024 and 2025 submitted to a binding shareholder vote' and 6.5 'Preparatory work and decision-making for the remuneration policy; remuneration committee involvement'.""]"
54,584,54_circular_circular economy_economy_circularity,"['circular', 'circular economy', 'economy', 'circularity', 'materials', 'resource', 'waste', 'design', 'reuse', 'recycling', 'resources', 'products', 'transition circular', 'use', 'circular design']","['Circular Economy Charter Circular economy strategy Integrating circular economy practices in deconstruction projects Not reclaiming/recycling or properly managing construction waste own operations,', 'Circular economy Circularity (broad) Circularity (narrow) Circular feedstocks Make Recover/ Biodegrade Use Keeping resources in the loop as long as possible Circular economy', '10.5 Circular economy Strategy and management Evonik regards circular economy as a fundamental transformation of economic activity. Circular economy is a system-oriented approach covering industrial processes and economic activities along the entire value chain. It aims to achieve a climate-neutral, resource-efficient economy which preserves the value of products, materials, and resources for as long as possible. Circular economy means decoupling economic growth and the use of resources by returning valuable raw materials to the loop at the end of their useful life. Better use of resources is a top priority for Evonik. Likewise, the circular economy is becoming increasingly important to Evonik in view of our planet’s limitations.']"
55,582,55_decarbonisation_decarbonization_levers_decarbonisation levers,"['decarbonisation', 'decarbonization', 'levers', 'decarbonisation levers', 'decarbonization levers', 'reduction', 'carbon', 'suppliers', 'emissions', 'ghg', 'targets', 'supply chain', 'supply', 'chain', 'reduction targets']","['Boliden’s decarbonization levers are described further in the paragraph Decarbonization levers on page 82, within Scope 1-2 includes process and investment optimization, electrification, energy efficiency, fuel switching, use of renewables, and heat and steam reduction, grid decarbonization and other external factors. Levers within Scope 3 includes process and investment optimization, indirect effects of Scope 1-2 decarbonization levers, supplier selection, internal technology developments and stakeholder engagement. Planned initiatives and actions are categorized accordingly.', 'The contribution of individual decarbonisation levers has been quantified The Lufthansa Group has identified a number of decarbonisation levers, which are described within its four-pillar strategy and the measures taken. The Lufthansa Group quantifies the following contributions of its individual decarbonisation levers to achieving the SBTi target in 2030:', 'The decarbonisation levers contributing to reaching the decarbonisation targets are described for each business segment in paragraph E1-3 “Actions and resources in relation to climate change policies”.']"
56,579,56_ipsos_clients_itc_nations global,"['ipsos', 'clients', 'itc', 'nations global', 'global compact', 'compact', 'client', 'training center', 'employees', 'research', 'countries', 'respondents', 'united nations', 'nations', 'training']","['Since Ipsos operates in 90 markets, employees have a very broad platform for their professional development. Ipsos encourages international career paths. As of December 31, 2024, Ipsos had over 1,500 employees working in a country other than their home country, demonstrating the great diversity of its workforce. Each year, Ipsos manages around one hundred inter-regional geographic transfers.', 'The second edition of the Generation Ipsos global conference was held under the theme, ""Ipsos, the best place to work"". More than 500 participants had the opportunity to listen to our Leaders. Ben Page, CEO of Ipsos, and Dan Lévy, Group CFO, shared their vision for Ipsos, the business strategy and how careers and job opportunities support the growth of our company.', 'All Ipsos strategic partners are also invited to sign the “Ipsos Supplier Code of Conduct”, formalizing Ipsos’ expectations of the supply chain, which must adhere to the same ESG standards that Ipsos implements in its own activities.']"
57,577,57_emission factors_factors_locationbased_emission,"['emission factors', 'factors', 'locationbased', 'emission', 'marketbased', 'electricity', 'method', 'emission factor', 'emissions', 'marketbased method', 'factor', 'scope emissions', 'iea', 'scope', 'locationbased method']","['Scope 2 GHG emissions are calculated based on purchased electricity and heat. The CO2 emission factors used for purchased energy largely follow the market-based methodology, meaning that almost all units apply CO2 factors provided by their energy suppliers. When these are not available, the Group applies the country-specific residual mix factor. In the absence of residual mix factors, the most recent location-based factors provided by the International Energy Agency (IEA) are used. The applied factors do not separate the percentage of biogenic CO2. Scope 2 includes market instruments, such as the trading of Guarantees of Origin for electricity.', 'Scope 2 GHG emissions are calculated based on purchased electricity and heat. The CO2 emission factors used for purchased energy largely follow the market-based methodology, which means that almost all units apply CO2 factors provided by their energy suppliers. When these are not available, the Group applies the country specific residual mix factor. In the absence of residual mix factors, the most recent location-based factors provided by the International Energy Agency (IEA) are used. Scope 2 includes the trading of Guarantees of Origin for electricity.', 'Scope 2 location-based method reflects the average emissions intensity of grids on which energy consumption occurs. These emissions are calculated based on the grid emissions factor for the geographic location of the site from which electricity, steam/imported heat, or cooling is purchased. Emission factor sources include International Energy Agency (IEA) Emission Factors, United States Environmental Protection Agency (EPA) eGrid Factors, and DESNZ/BEIS Conversion Factors.']"
58,575,58_sdg_sdgs_development goals_goals sdgs,"['sdg', 'sdgs', 'development goals', 'goals sdgs', 'sustainable development', 'goals', 'united nations', 'nations', 'nations sustainable', 'sustainable', 'united', 'consumption production', 'development', 'quality education', 'decent work']","[""(1) SDG 3 'Good health and well-being', SDG 4 'Quality education', SDG 5 'Gender equality', SDG 6 'Clean water and sanitation', SDG 7 'Affordable and clean energy', SDG\xa0 8 'Decent work and economic growth', SDG 9 'Industry, innovation and infrastructure', SDG 10 'Reduced inequalities', SDG 11 'Sustainable cities and communities', SDG 12 'Responsible consumption and production', SDG 13 'Climate action', SDG 16 'Peace, justice and strong institutions', SDG 17 'Partnerships for the goals'."", 'RELEVANT SUSTAINABLE DEVELOPMENT GOALS (SDG) OF LUFTHANSA GROUP SDG 3: Good Health and Well-Being SDG 4: Quality Education SDG 7: Affordable and Clean Energy SDG 8: Decent Work and Economic Growth SDG 9: Industry, Innovation and Infrastructure SDG 10: Reduced Inequalities SDG 12: Responsible Consumption and Production SDG 13: Climate Action SDG 16: Peace, Justice and strong Institutions SDG 17: Partnerships for the Goals', 'RELEVANT SUSTAINABLE DEVELOPMENT GOALS (SDG) OF LUFTHANSA GROUP SDG 3: Good Health and Well-Being SDG 4: Quality Education SDG 7: Affordable and Clean Energy SDG 8: Decent Work and Economic Growth SDG 9: Industry, Innovation and Infrastructure SDG 10: Reduced Inequalities SDG 12: Responsible Consumption and Production SDG 13: Climate Action SDG 16: Peace, Justice and strong Institutions SDG 17: Partnerships for the Goals']"
59,569,59_net zero_zero_net_netzero,"['net zero', 'zero', 'net', 'netzero', 'transition net', 'transition', 'zero transition', 'achieve net', 'transition plan', 'ambition', 'emissions', 'achieve', 'plan', 'zero emissions', 'zero ambition']","['Transition to net zero TCFD We support the transition of our customers, industries and markets to a net zero and a sustainable future, while moving to net zero ourselves.', 'At a glance Transition to net zero Our net zero ambition represents one of our four strategic pillars. At the core of it is an ambition to support our customers on their transition to net zero, so that the greenhouse gas emissions from our portfolio of clients reaches net zero by 2050. We also aim to be net zero in our operations and supply chain by 2030. We have made good progress on our net zero ambition, including publishing an updated energy policy as an important mechanism to meeting our financed emissions targets, and expanding our financed emissions targets to eight sectors in total. We aim to provide and facilitate $750bn to $1tn of sustainable finance and investment to support our customers in their transition to net zero and a sustainable future by 2030. We continue to engage with our clients on their transition plans and to provide them with financing solutions to support their sustainability goals.', 'Net zero in our own operations TCFD Part of our ambition to be a net zero bank is to achieve net zero carbon emissions in our operations and supply chain by 2030.']"
60,562,60_accessibility_disabilities_people disabilities_disability,"['accessibility', 'disabilities', 'people disabilities', 'disability', 'people', 'inclusion', 'disabled', 'inclusion people', 'sign language', 'persons disabilities', 'neurodiversity', 'atos', 'employment', 'accessible', 'disability inclusion']","['The governance relation between Group Accessibility (GA) and Accessibility practice is illustrated in Figure 1 below. Atos has appointed an executive leader for accessibility as part of the global management team empowered to drive the program and grow its accessibility offerings. The global head of accessibility is supported by a full‑time accessibility and digital inclusion governance program manager and process manager.', '2. Employees and customers with disabilities 2.1. RECRUITING, INTEGRATING AND RETAINING PEOPLE WITH DISABILITIES Carrefour has made its approach to hiring and integrating people with disabilities, keeping them in employment, a\xa0fundamental part of its human resources policy.', 'Creation of the Atos Global Accessibility Compliance Office Atos has created the Global Accessibility Compliance Office to provide Legal Watch on Accessibility and Digital Inclusion, and improve compliance with legislation by adhering to relevant accessibility standards, guidelines, regulations, conventions and acts, including the UN Convention on the Rights of persons with disabilities and European Accessibility Act. The goal of this action was to provide remediation for Atos employees, Atos clients’ employees, Atos clients’ customers, communities affected by Accessibility and Digital Inclusion barriers.']"
61,557,61_franceklm_air franceklm_klm_air,"['franceklm', 'air franceklm', 'klm', 'air', 'perpetual', 'subordinated', 'state', 'french state', 'bonds', 'agreement', 'airfrance', 'flying', 'shares', 'subordinated notes', 'amount']","['On March\xa0 25, 2019, Air\xa0 France-KLM issued a bond in the form of a bonds convertible into and/or exchangeable for new or existing shares (OCEANE) of €500\xa0 million with a 7-year maturity. The coupon rate is 0.125%. Repayment at par, plus accrued interest, will be possible on March\xa0 25, 2024 at the request of the bond holders. Air\xa0France-KLM can enforce the cash reimbursement of these bonds by exercising a call option running from April\xa015, 2022 if the share price exceeds 130% of the nominal, i.e. €23.29, encouraging OCEANE bond holders to convert their bonds into Air\xa0France-KLM shares.', ""Agreements already approved during the year We were also informed of the implementation during the year of following agreements, approved by the Annual General Shareholders' Meeting on June 5, 2024, and presented in the statutory auditors’ report on relatedparty agreements on March 28, 2024 Agreements entered into in the context of the termination of the commercial cooperation between Air France-KLM and CMA CGM i. Conclusion of a term sheet between Air France-KLM, Air France, KLM, CMA CGM, CMA CGM Air Cargo and CMA CGM Air Cargo 9 Interested parties Ms. Anne-Marie Couderc, chairman of the Board of directors of the Company and chairman of Société Air France up to July 8, 2024; Mr. Benjamin Smith, Chief Executive Officer of the Company and Board director of the Company, chairman of Société Air France from July 8, 2024, and member of the supervisory board of KLM; Mr. Cees ‘t Hart, directors of both the Company and KLM up to June 5, 2024; CMA CGM, a shareholder of the Company with 12,8% of the voting rights; and Mr. Ramon Fernandez, permanent representative GMA CGM up to March 31, 2024."", 'However, following the reverse stock-split and by decision of the Chief Executive Officer, the conversion ratio of the last-ranking perpetual subordinated bonds, convertible into new shares and/or exchangeable for existing shares, has been adjusted and amounts to 6 549,6463 Air FranceKLM shares per bond.']"
62,554,62_capex_additions_intangible_intangible assets,"['capex', 'additions', 'intangible', 'intangible assets', 'property plant', 'plant equipment', 'assets', 'capital expenditure', 'expenditure', 'eligible', 'rightofuse', 'eligible capex', 'capex kpi', 'rightofuse assets', 'property']","['Contextual Information about CapEx KPI The figures in the CapEx KPI include additions to property, plant and equipment, intangible assets and right-of-use assets, as well as CapEx associated with Yara’s CapEx plan, as illustrated below.', 'CapEx KPI For Delivery Hero, the CapEx ratio indicates the proportion of capital expenditure that is either associated with a taxonomy-eligible economic activity or relates to the acquisition of products and services from a taxonomy-eligible economic activity. The denominator of Delivery Hero’s CapEx KPI includes additions to property, plant, and equipment, intangible assets, and rights of use assets from leases during the financial year 2024. These additions are considered before depreciation, amortization, and any remeasurements, including those resulting from revaluations and impairments, for the relevant financial year and excluding fair value changes. Also considered are additions to tangible and intangible assets resulting from business combinations. Acquired goodwill is not included (see notes to the Consolidated Financial Statements for further details on additions to property, plant, and equipment, and intangible assets, as well as business combinations).', 'Capital Expenditures (CapEx) To determine the Capital Expenditures (CapEx) KPI, the Taxonomy-Regulation requires that the capital expenditures for business activities contributing to the respective environmental objective are being brought into relation to the CapEx for tangible and intangible assets of the QIAGEN Group, including additions from business acquisitions. This considers net additions to property, plant and equipment (see Note 10 to the Consolidated Financial Statements), intangible assets (see other intangible assets, Note 12 to the Consolidated Financial Statements) as well as to right-of-use assets. In the prior year, we did not include additions related to business combinations for property, plant and equipment and intangible assets in the CapEx KPI. Regardless of the immaterial effect, we have updated the previous percentages in the table. Taxonomy eligible activities relating to 7.2, 7.7, 1.2 and 6.5 for the prior year have been retrospectively identified and the ratio of CapEx eligible activities have been updated to present the correct comparable percentages for Taxonomy eligible CapEx in the prior year. Accordingly the ratio of CapEx eligible activities has changed from previously 0.4% to 16 of total CapEx.']"
63,549,63_csrd_sustainability reporting_esrs_directive,"['csrd', 'sustainability reporting', 'esrs', 'directive', 'reporting directive', 'corporate sustainability', 'standards esrs', 'european sustainability', 'reporting standards', 'directive csrd', 'disclosure requirements', 'reporting', 'sustainability', 'european', 'disclosure']","['B. Basis for preparation 1. Frameworks and data selection The sustainability statements are prepared in compliance with the EU Corporate Sustainability Reporting Directive (CSRD) and the European Sustainability Reporting Standards (ESRS) issued by the European Financial Reporting Advisory Group (EFRAG).', 'BASIS FOR PREPARATION ESRS 2 BP-1 This Sustainability Statement has been prepared in accordance with the EU Corporate Sustainability Reporting Directive (CSRD) and the underlying European Sustainability Reporting Standards (ESRS).', 'Introduction This section of the Integrated Annual Report describes our sustainability approach and performance, in accordance with the Corporate Sustainability Reporting Directive (CSRD). The CSRD mandates the European Sustainability Reporting Standards (ESRS), which provide disclosure requirements on the full spectrum of environmental, social and governance (ESG) topics.']"
64,537,64_workers_managing material_chain workers_workers value,"['workers', 'managing material', 'chain workers', 'workers value', 'material risks', 'workforce', 'value chain', 'impacts', 'esrs', 'negative impacts', 'material', 'material impacts', 'impacts channels', 'action material', 'taking action']","['Social Information Page reference in the annual report ESRS S2 Workers in the value chain SBM-3 Material impacts, risks, and opportunities and their interaction with strategy and business model S2-1 Policies related to value chain workers S2-2 Processes for engaging with value chain workers about impacts S2-3 Processes to remediate negative impacts and channels for value chain workers to raise concerns S2-4 Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions S2-5 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities ESRS S3 Affected communities SBM-3 Material impacts, risks, and opportunities and their interaction with strategy and business model S3-1 Policies related to affected communities S3-2 Processes for engaging with affected communities about impacts S3-3 Processes to remediate negative impacts and channels for affected communities to raise concerns S3-4 Taking action on material impacts on affected communities, and approaches to managing material risks and pursuing material opportunities related to affected communities, and effectiveness of those actions S3-5 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities', 'ESRS S2 Workers in the value chain Section/Report Additional information ESRS\xa02 SBM‑2 Interests and views of stakeholders 5.1.1.4.2 ESRS\xa02 SBM‑3 Material impacts, risks and opportunities and their interaction with strategy and business model(s) 5.1.1.4.3 5.1.3.2.1 S2‑1 Policies related to value chain workers 5.1.3.2.2.2.1 S2‑2 Processes for engaging with value chain workers about impacts 5.1.3.2.2.2.2 S2‑3 Processes to remediate negative impacts and channels for value chain workers to raise concerns 5.1.3.2.2.2.2 S2‑4 Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of actions 5.1.3.2.2.2.3 S2‑5 Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and\xa0opportunities 5.1.3.2.2.2.4', 'Standard Disclosure requirement In accordance with ESRS Page Social information ESRS S1 Own workforce SBM-2 – Interests and views of stakeholders SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model S1-1 – Policies related to own workforce S1-2 – Processes for engaging with own workers and workers’ representatives about impacts S1-3 – Processes to remediate negative impacts and channels for own workers to raise concerns S1-4 – Taking action on material impacts on own workforce, and approaches to mitigating material risks and pursuing material opportunities related to own workforce, and effectiveness of those actions S1-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities S1-6 – Characteristics of the undertaking’s employees S1-9 – Diversity metrics S1-14 – Health and safety metrics S1-16 – Compensation metrics (pay gap and total compensation) ESRS S2 Workers in the value chain SBM-2 – Interests and views of stakeholders SBM-3 – Material impacts, risks and opportunities and their interaction with strategy and business model S2-1 – Policies related to value chain workers S2-2 – Processes for engaging with value chain workers about impacts S2-3 – Processes to remediate negative impacts and channels for value chain workers to raise concerns S2-4 – Taking action on material impacts on value chain workers, and approaches to managing material risks and pursuing material opportunities related to value chain workers, and effectiveness of those actions S2-5 – Targets related to managing material negative impacts, advancing positive impacts, and managing material risks and opportunities']"
65,537,65_incentive_remuneration_variable_variable remuneration,"['incentive', 'remuneration', 'variable', 'variable remuneration', 'incentive schemes', 'sustainabilityrelated performance', 'sustainabilityrelated', 'performance incentive', 'schemes', 'integration sustainabilityrelated', 'lti', 'longterm incentive', 'compensation', 'longterm', 'variable compensation']","['GOV-3 and GOV-3 E1 Integration of sustainability-related performance in incentive schemes Sanoma has performance-based incentive schemes that cover the Company’s management bodies and personnel.', 'ESRS E1 : CLIMATE CHANGE 6.2.2.1. GOVERNANCE ESRS 2 GOV 3 : Integration of sustainability-related performance in incentive schemes For information on the integration of sustainability-related performance in incentive schemes, see GOV-3\xa0 -\xa0 Integration of sustainabilityrelated performance in incentive schemes - in Section 6.1.1.2 Governance.', 'During the 2024 exercise, the Board of Directors and the Leadership Team participated in a seminar to raise awareness on nature-related topics: climate change, land use change, pollution, resource management (See chapter 2.2.2.4). [DP GOV-2_03] 2.2.1.1.2.3 GOV-3 – Integration of sustainabilityrelated performance in incentive schemes Renault Group recognizes the importance of aligning sustainability goals with executive remuneration. The CEO benefits from incentive schemes in his variable remuneration that are linked to sustainability matters.']"
66,518,66_scope_scope emissions_categories_emissions,"['scope', 'scope emissions', 'categories', 'emissions', 'ghg protocol', 'protocol', 'ghg', 'category', 'goods', 'scope categories', 'goods services', 'purchased goods', 'indirect', 'emissions scope', 'purchased']","['Scope 3 emissions in the table on the left includes emissions related to category 1, 3, 5, 6 and 7, as outlined below. For these categories the emissions do not include the counterparties’ Scope\xa03 emissions. For category 15 financed emissions, Scope 1 and Scope 2 emissions are included and do not include investee Scope 3 emissions (Scope 3 of Scope 3).', 'For scope 3 emissions, a range of methodologies, assumptions and emission factors are used to calculate the individual scope 3 categories. Less than 1% of scope 3 emissions are calculated using primary data. The most significant scope 3 category for us is category 1, purchased goods and services. The methodology used for this category is explained below in further detail. In our GHG inventory, we include the following scope 3 categories:', 'Our Scope 3 emissions include the following emission categories: purchased goods and services (Private Labels, Wholesale, Partner Program, Offprice, Recommerce, packaging), purchased goods and services (non-product), capital goods, fuel- and energy-related activities, upstream transportation and distribution, waste generated in operations, business travel, employee commuting, downstream transportation and distribution, use of sold products, end-of-life treatment of sold products, and investments. For upstream and downstream transportation and distribution, and use of sold products, electricity generation emission factors used do not include ‘Well-to-Tank’ emissions. In 2023, the three main Scope 3 emissions sources were emissions from manufacturing of products that we purchase and commission, the use of sold products and the transportation of products to customers. For calculating emissions from products within the category of purchased goods and services, the main parameters used are the weight and the material composition of such products. As Zalando does not directly purchase or acquire Partner Program products at any stage, and instead provides a marketplace service to partners, the emissions of Partner Program goods would not fall under Scope 3 emissions (category 1) according to the Greenhouse Gas Protocol and can be excluded from the Scope 3 inventory. However, in order to give a representative view of our business impacts, we have optionally included Partner Program products in our footprint. Emissions from Partner Program products were 1,227,626t CO2e in 2023, 25.75% of total emissions. Emissions from Partner Program trim, end-of-life, and use phase are not included.']"
67,514,67_sanoma_sanomas_media_paper,"['sanoma', 'sanomas', 'media', 'paper', 'printing', 'learning', 'finland', 'media finland', 'advertising', 'privacy', 'printing houses', 'sanomas sustainability', 'teachers', 'inclusive learning', 'learning materials']","[""Impact, risk and opportunity management IRO-1 Description of the processes to identify and assess material impacts, risks and opportunities The aim of the double materiality assessment (DMA), is to identify actual and potential sustainability-related impacts, risks and opportunities relevant for the company. Sanoma’s material impacts, risks and opportunities have been identified in an assessment conducted during 2023–2024, and covering Sanoma’s own operations as well as upstream and downstream value chain. This process follows the European Sustainability Reporting Standards' requirements as well as the principles of Sanoma’s Enterprise Risk Management process. The responsibilities of the administrative and supervisory bodies related to the DMA are determined in Sanoma’s sustainability management model. The results of the assessment were reviewed by the Executive Management Team and approved by the Board of Directors in 2024. The DMA process was hosted by Sanoma’s Sustainability team, in close cooperation with the Compliance team. All members of Sanoma’s Sustainability and Ethics Working Group participated in the DMA, in addition to other key internal stakeholders, such as the Managing Directors of all Learning operating companies. The DMA considers Sanoma’s impacts through its own operations and as a result of its business relationships. It focuses on Sanoma’s business activities related to its learning and media businesses, with the geographies including all Sanoma’s operating countries. Business relationships have been especially assessed for tier 1 suppliers, extending the assessment to tier 2 suppliers within categories of higher risk, such as the paper and print suppliers."", 'Sanoma Media Finland Sanoma Learning Others (Sanoma Group) Female, of which Male, of which SANOMA ANNUAL REPORT 2023 ∙ 61', ""■Trustworthy data: Data is an increasingly essential part of Sanoma’s business model, products and services in both businesses. Sanoma holds large volumes of personal data, including the data of its own workforce as well as customers and end-users, such as media consumers, and students and teachers in Learning. This exposes Sanoma to privacy risks and requires it to consider carefully its processes for implementing data subject rights and demonstrating accountability for compliance with the GDPR. Sanoma is also exposed to potential data breaches resulting from unauthorised or accidental loss of, or access to personal data managed by Sanoma or by third parties processing data on Sanoma’s behalf. At Sanoma, artificial intelligence (AI) is also used for, among other things, providing journalistic recommendations, personalised features in entertainment, and adaptive learning solutions. Applications of generative AI may bring opportunities related to efficiency, personalisation and support in delivering quality products, with risks including the misuse of the data and content. To mitigate data and privacy risks, Sanoma continuously develops trustworthy use of the learning and media customers' data. Key projects include implementing Sanoma’s Privacy Programme and Privacy and Security by Design process to ensure that privacy and data protection is built into Sanoma’s products. To mitigate AIrelated risks, Sanoma continuously develops its digital and hybrid learning and media products and services with key projects including e.g., up-to-date ethical AI principles and employee instructions as well as having the right technology in place upfront. These goals and actions apply to all Sanoma’s operations across Europe.""]"
68,509,68_hours_training hours_training_per employee,"['hours', 'training hours', 'training', 'per employee', 'hours training', 'hours per', 'average training', 'average hours', 'average', 'training per', 'per', 'employee', 'learning', 'apprentices', 'apprenticeship']","['Average number of training hours per employee and by gender methodology: The average number of training hours per employee is based on the number of training hours completed and registered by employees on our learning platforms.', 'Percentage of employees trained % of employees trained/total number of employees Total number of training hours Number of training hours 187,974 137,483 127,261 Average number of training hours per employee Training hours/total number of employees', 'Training hours per employee; by professional category, gender and region Region Training hours per employee Training hours per employee Executive Men Training hours per employee Executive Training hours per employee Middle management Training hours per employee Middle management Training hours per employee Other professionals Training hours per employee Other professionals Germany Brazil Spain Rest Hispam Group Total In 2023 we recorded a reduction in hours of training compared to 2022, due to the impact of the Power of Connections program and the Responsible Business Principles course.']"
69,506,69_tcfd_climaterelated financial_financial disclosures_force climaterelated,"['tcfd', 'climaterelated financial', 'financial disclosures', 'force climaterelated', 'task force', 'disclosures tcfd', 'task', 'climaterelated', 'disclosures', 'recommendations', 'force', 'tcfd recommendations', 'recommendations task', 'climaterelated risks', 'financial disclosure']","[""TASK FORCE ON CLIMATE-RELATED FINANCIAL DISCLOSURES COMPLIANCE STATEMENT FCA LISTING RULES In this report, we set out our climate-related financial disclosures consistent with all of the Task Force on Climate-related Financial Disclosures (TCFD) recommendations and recommended disclosures pursuant to\xa0Listing Rule 9.8.6R (8). This includes all four of the TCFD pillars and the 11 recommended disclosures set\xa0out in the report entitled 'Implementing the Recommendations of the Task Force on Climate-related Financial Disclosures' published in October 2021 by the TCFD. In completing this work, we made use of TCFD guidance material including the TCFD technical supplement on the use of scenario analysis, TCFD Guidance on Metrics, Targets and Transition Plans, and the TCFD Guidance for All Sectors. We are reporting against the TCFD framework in line with FCA Listing Rules."", 'Our approach to climate reporting Task Force on Climaterelated Financial Disclosures (‘TCFD’) Our TCFD index provides our responses to each of the 11 recommendations and summarises where additional information can be found.', 'Task Force for Climate-related Financial Disclosures (“TCFD”) Statement Entain is a staunch supporter of the recommendations of the Task Force for Climaterelated Financial Disclosures (“TCFD”), and we are committed to implementing the TCFD recommendations having made voluntary disclosures ahead of the FCA’s mandatory requirements for UK Premium Listed Companies to report. In this section, we outline our approach to climate-related threats and opportunities.']"
70,494,70_compliance_compliance management_compliance officer_cms,"['compliance', 'compliance management', 'compliance officer', 'cms', 'compliance risks', 'chief compliance', 'compliance function', 'compliance officers', 'cco', 'officer', 'function', 'compliance department', 'compliance risk', 'chief', 'officers']","['The company has also put in place a compliance management system based on IDW (Institute of Public Auditors in Germany) standard PS 980 and has appointed a central compliance officer, the Chief Compliance Officer, whose remit focuses on identifying compliance risks, taking suitable measures to avoid and detect these risks and taking appropriate action in response to compliance risks (compliance program). This individual also acts as the company’s human rights officer.', 'The\xa0Group Chief Compliance Officer also has direct access to the Chairman and Chief Executive Officer and does not hold any other position, so is fully focused on this role. To ensure day-to-day monitoring effectiveness of Compliance Program, the Group Chief Compliance Officer is supported by (i) a team of six compliance lawyers working in Paris, Singapore and Shanghai, (ii) a network of Brand Compliance Officers appointed by the House CEOs, and (iii) a network of Regional and Local Compliance Officers. In some Houses, there are compliance managers in addition to the Brand and Local Compliance Officers. As a general rule, the positions held by the Compliance Officers in parallel with their compliance duties are sufficiently high-ranking to ensure they have the necessary authority and independence.', ""2.1.2 Compliance The Compliance organization is coordinated by a Group Chief Compliance Officer (CCO), who is responsible for implementing the Group Compliance Program as approved by the Board of Directors. The Group Chief Compliance Officer reports to the Audit Committee, which helps ensure the independence required of that role. The Group Chief Compliance Officer also has direct access to the Chairman and Chief Executive Officer and does not hold any other position, so is fully focused on this role. To ensure the day-to-day monitoring and effectiveness of the Compliance Program, the Group Chief Compliance Officer is supported by (i) a team of seven compliance law experts working in Paris, New York, Singapore and Shanghai, (ii) a network of Brand Compliance Officers appointed by the Houses' CEOs, and (iii) a network of Regional and Local Compliance Officers. In some Houses, there are compliance managers in addition to the Brand and Local Compliance Officers. As a general rule, the positions held by the Compliance Officers in parallel with their compliance duties are sufficiently high-ranking to ensure they have the necessary authority and independence.""]"
